"BranchCategory,0"
"Seminole State,0.04752136001541482"
"Lake Mary,0.047426389177355505"
"Virtual Branch,0.025569042790295267"
"Eustis,0.02009893779475158"
"The Loop,0.01875515610170759"
"Longwood,0.0170010119489918"
"Orange City,0.0168741405693271"
"Poinciana,0.015253449601019863"
"Lake Nona,0.014767920768188515"
"Downtown Campus,0.014696788183692676"
"Sanford,0.014636248743453255"
"Oviedo,0.014506654043307384"
"Fern Park,0.013997055092353376"
"Apopka,0.013554909759875881"
"St. Cloud,0.013178218680521776"
"Leesburg,0.012479861100725761"
"Clermont,0.012388129851885655"
"UCF Campus,0.012304817036016436"
"East Orlando,0.012000589996572227"
"Merritt Island,0.011785130968968457"
"Winter Garden,0.011167735828687754"
"Kissimmee,0.01104159253269777"
"South Orlando,0.01035651774894396"
"Altamonte Springs,0.009638636719396194"
"Mills,0.009364618583411564"
"MetroWest,0.008310731337129864"
"Pine Hills,0.007908200582400517"
"Addition Financial Arena,-0.11984404714538677"
"UCF Commons,-0.1444749509511791"
